song,artist,date,loveSong
Holland Road,Mumford & Sons,12/10/2012,
Ghosts That We Knew,Mumford & Sons,12/10/2012,
Don't Stop The Party,Pitbull Featuring TJR,12/10/2012,
Diamonds,Rihanna,12/10/2012,
Begin Again,Taylor Swift,12/10/2012,
Skyfall,Adele,19/10/2012,0
Southern Comfort Zone,Brad Paisley,19/10/2012,
Locked Out Of Heaven,Bruno Mars,19/10/2012,
My Moment,"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih",19/10/2012,
Every Storm (Runs Out Of Rain),Gary Allan,19/10/2012,
Just What I Am,Kid Cudi Featuring King Chip,19/10/2012,
Lover Of The Light,Mumford & Sons,19/10/2012,
Live While We're Young,One Direction,19/10/2012,
How Country Feels,Randy Houser,19/10/2012,
Red,Taylor Swift,19/10/2012,
Anything Could Happen,Ellie Goulding,26/10/2012,
El Cerrito Place,Kenny Chesney,26/10/2012,
I Knew You Were Trouble.,Taylor Swift,26/10/2012,1
Goodbye In Her Eyes,Zac Brown Band,26/10/2012,
Ready Or Not,Bridgit Mendler,2/11/2012,
Sweet Nothing,Calvin Harris Featuring Florence Welch,2/11/2012,
Night Train,Jason Aldean,2/11/2012,
Catch My Breath,Kelly Clarkson,2/11/2012,
Ball,T.I. Featuring Lil Wayne,2/11/2012,
State Of Grace,Taylor Swift,2/11/2012,
Poetic Justice,Kendrick Lamar Featuring Drake,9/11/2012,
m.A.A.d City,Kendrick Lamar Featuring MC Eiht,9/11/2012,
Young & Gettin' It,Meek Mill Featuring Kirko Bangz,9/11/2012,
Fade Into You,Sam Palladio & Clare Bowen,9/11/2012,
22,Taylor Swift,9/11/2012,
I Almost Do,Taylor Swift,9/11/2012,
All Too Well,Taylor Swift,9/11/2012,
Stay Stay Stay,Taylor Swift,9/11/2012,
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,9/11/2012,1
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",16/11/2012,
Don't Judge Me,Chris Brown,16/11/2012,
Tip It On Back,Dierks Bentley,16/11/2012,
Don't Rush,Kelly Clarkson Featuring Vince Gill,16/11/2012,
Better Dig Two,The Band Perry,16/11/2012,
Wicked Games,The Weeknd,16/11/2012,
If I Didn't Have You,Thompson Square,16/11/2012,
The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church,23/11/2012,
Tornado,Little Big Town,23/11/2012,
Rest Of My Life,Ludacris Featuring Usher & David Guetta,23/11/2012,
I Found You,The Wanted,23/11/2012,
I'm Different,2 Chainz,30/11/2012,
Just A Fool,Christina Aguilera With Blake Shelton,30/11/2012,
A Thousand Years (Part 2),Christina Perri Featuring Steve Kazee,30/11/2012,1
Little Things,One Direction,30/11/2012,1
Kiss You,One Direction,30/11/2012,
Stars,Amanda Brown,7/12/2012,
Over You,Cassadee Pope,7/12/2012,
Give It All We Got Tonight,George Strait,7/12/2012,
Stars,Grace Potter & The Nocturnals,7/12/2012,
Somebody's Heartbreak,Hunter Hayes,7/12/2012,
Seven Nation Army,Melanie Martinez,7/12/2012,
Remember You,Wiz Khalifa Featuring The Weeknd,7/12/2012,
My Life,50 Cent Featuring Eminem & Adam Levine,14/12/2012,
Are You Happy Now?,Cassadee Pope,14/12/2012,
Oath,Cher Lloyd Featuring Becky G,14/12/2012,
Representin',Ludacris Featuring Kelly Rowland,14/12/2012,
Too Close,Melanie Martinez,14/12/2012,
One Of Those Nights,Tim McGraw,14/12/2012,
Scream & Shout,will.i.am & Britney Spears,14/12/2012,
When I Was Your Man,Bruno Mars,21/12/2012,1
Neva End,Future,21/12/2012,
All I Want For Christmas Is You,Mariah Carey,21/12/2012,1
Daylight,Maroon 5,21/12/2012,1
Somewhere Over The Rainbow,Nicholas David,21/12/2012,
Love And War,Tamar Braxton,21/12/2012,
I Want To Know What Love Is,Terry McDermott,21/12/2012,
Stubborn Love,The Lumineers,21/12/2012,
Let It Go,Wiz Khalifa Featuring Akon,21/12/2012,
Guap,Big Sean,28/12/2012,
Two Black Cadillacs,Carrie Underwood,28/12/2012,
Stupid Boy,Cassadee Pope,28/12/2012,
Love Sosa,Chief Keef,28/12/2012,
Who Booty,Jonn Hart Featuring IamSU!,28/12/2012,
Merry Go 'round,Kacey Musgraves,28/12/2012,
Let It Be,Terry McDermott,28/12/2012,
All Gold Everything,Trinidad James,28/12/2012,
Crying On A Suitcase,Casey James,4/1/2013,
Cry,Cassadee Pope,4/1/2013,
C'mon,Ke$ha,4/1/2013,
King Wizard,Kid Cudi,4/1/2013,
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,11/1/2013,0
I Dreamed A Dream,Anne Hathaway,11/1/2013,
Rock Me,One Direction,11/1/2013,
Bellas Finals: Price Tag / Don't You (Forget About Me)...,The Barden Bellas,11/1/2013,
Carry On,fun.,18/1/2013,
I Drive Your Truck,Lee Brice,18/1/2013,
Pour It Up,Rihanna,18/1/2013,
On My Own,Samantha Barks,18/1/2013,
Riff Off: Mickey / Like A Virgin / Hit Me With Your Best Shot...,"The Barden Bellas, The Treblemakers & The BU Harmonics",18/1/2013,
We Still In This B****,B.o.B Featuring T.I. & Juicy J,25/1/2013,
Sure Be Cool If You Did,Blake Shelton,25/1/2013,
Demons,Imagine Dragons,25/1/2013,0
Suit & Tie,Justin Timberlake Featuring JAY Z,25/1/2013,0
"Bitch, Don't Kill My Vibe",Kendrick Lamar,25/1/2013,0
If I Lose Myself,OneRepublic,25/1/2013,
The Moment I Knew,Taylor Swift,25/1/2013,
Long Live A$AP,A$AP Rocky,1/2/2013,
Wild For The Night,A$AP Rocky Featuring Skrillex,1/2/2013,
Wagon Wheel,Darius Rucker,1/2/2013,
Love Me,Lil Wayne Featuring Drake & Future,1/2/2013,
Troublemaker,Olly Murs Featuring Flo Rida,1/2/2013,
Let There Be Cowgirls,Chris Cagle,8/2/2013,
Get Your Shine On,Florida Georgia Line,8/2/2013,
Bad Ass,Kid Ink Featuring Meek Mill & Wale,8/2/2013,
Mama's Broken Heart,Miranda Lambert,8/2/2013,
Feel This Moment,Pitbull Featuring Christina Aguilera,8/2/2013,
Dope,Tyga Featuring Rick Ross,8/2/2013,
I Love It,Icona Pop Featuring Charli XCX,15/2/2013,
Nothing Like Us,Justin Bieber,15/2/2013,
As Long As You Love Me (Acoustic),Justin Bieber,15/2/2013,1
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,15/2/2013,
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,15/2/2013,
Loveeeeeee Song,Rihanna Featuring Future,15/2/2013,
Yolo,The Lonely Island Featuring Adam Levine & Kendrick Lamar,15/2/2013,0
I Can Take It From There,Chris Young,22/2/2013,
Started From The Bottom,Drake,22/2/2013,
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,22/2/2013,
Pirate Flag,Kenny Chesney,22/2/2013,
Downtown,Lady Antebellum,22/2/2013,
Stay,Rihanna Featuring Mikky Ekko,22/2/2013,
Highway Don't Care,Tim McGraw With Taylor Swift,22/2/2013,
Bad,Wale Featuring Tiara Thomas Or Rihanna,22/2/2013,
R.I.P.,Young Jeezy Featuring 2 Chainz,22/2/2013,
Bugatti,Ace Hood Featuring Future & Rick Ross,1/3/2013,
Hold On,Alabama Shakes,1/3/2013,
Harlem Shake,Baauer,1/3/2013,
Power Trip,J. Cole Featuring Miguel,1/3/2013,
She Don't Put It Down,Joe Budden Featuring Lil Wayne & Tank,1/3/2013,
Mirrors,Justin Timberlake,1/3/2013,
Alive,Krewella,1/3/2013,
One Way Or Another (Teenage Kicks),One Direction,1/3/2013,
Just Give Me A Reason,P!nk Featuring Nate Ruess,1/3/2013,
As Your Friend,Afrojack Featuring Chris Brown,8/3/2013,
Next To Me,Emeli Sande,8/3/2013,
Like Jesus Does,Eric Church,8/3/2013,
Karate Chop (Remix),Future Featuring Lil Wayne,8/3/2013,
Hey Porsche,Nelly,8/3/2013,
More Than Miles,Brantley Gilbert,15/3/2013,
Gold,Britt Nicole,15/3/2013,
Heart Attack,Demi Lovato,15/3/2013,
Levitate,Hadouken!,15/3/2013,
It's A Beautiful Day,Michael Buble,15/3/2013,
Beat This Summer,Brad Paisley,22/3/2013,
Show Out,Juicy J Featuring Big Sean & Young Jeezy,22/3/2013,
Kisses Down Low,Kelly Rowland,22/3/2013,
Buzzkill,Luke Bryan,22/3/2013,
"Gone, Gone, Gone",Phillip Phillips,22/3/2013,
So Many Girls,"DJ Drama Featuring Wale, Tyga & Roscoe Dash",29/3/2013,
Freaks,French Montana Featuring Nicki Minaj,29/3/2013,
1994,Jason Aldean,29/3/2013,
DONE.,The Band Perry,29/3/2013,
Wop,J. Dash,5/4/2013,
Anywhere With You,Jake Owen,5/4/2013,
Pusher Love Girl,Justin Timberlake,5/4/2013,
Hey Pretty Girl,Kip Moore,5/4/2013,
Rich As F**k,Lil Wayne Featuring 2 Chainz,5/4/2013,
Molly,"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",5/4/2013,
#thatPOWER,will.i.am Featuring Justin Bieber,5/4/2013,
Clarity,Zedd Featuring Foxes,5/4/2013,
The Way,Ariana Grande Featuring Mac Miller,12/4/2013,
Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,12/4/2013,
Lego House,Ed Sheeran,12/4/2013,1
The Phoenix,Fall Out Boy,12/4/2013,
Fine China,Chris Brown,19/4/2013,
Pom Poms,Jonas Brothers,19/4/2013,
Wings,Little Mix,19/4/2013,
High School,Nicki Minaj Featuring Lil Wayne,19/4/2013,
Here's To Never Growing Up,Avril Lavigne,26/4/2013,
Accidental Racist,Brad Paisley Featuring LL Cool J,26/4/2013,
Ready,Fabolous Featuring Chris Brown,26/4/2013,
I Want Crazy,Hunter Hayes,26/4/2013,
Crash My Party,Luke Bryan,26/4/2013,
Still Into You,Paramore,26/4/2013,1
Gentleman,PSY,26/4/2013,
I Hit It First,Ray J Featuring Bobby Brackins,26/4/2013,
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,26/4/2013,
See You Tonight,Scotty McCreery,26/4/2013,
Come & Get It,Selena Gomez,26/4/2013,
Just Keep Breathing,WE the Kings,26/4/2013,
I Need Your Love,Calvin Harris Featuring Ellie Goulding,3/5/2013,
Get Lucky,Daft Punk Featuring Pharrell Williams,3/5/2013,
The Other Side,Jason Derulo,3/5/2013,
How Many Drinks?,Miguel,3/5/2013,
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,3/5/2013,
Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa,3/5/2013,
Fall Down,will.i.am Featuring Miley Cyrus,3/5/2013,
Body Party,Ciara,10/5/2013,
No New Friends (SFTB Remix),"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",10/5/2013,
Memories Back Then,"Hustle Gang Featuring T.I., B.o.B, Kendrick Lamar & Kris Stephens",10/5/2013,
Young And Beautiful,Lana Del Rey,10/5/2013,1
Brave,Sara Bareilles,10/5/2013,
Jump Right In,Zac Brown Band,10/5/2013,
Sexy People (The Fiat Song),Arianna Featuring Pitbull,17/5/2013,
Hey Girl,Billy Currington,17/5/2013,
Safe And Sound,Capital Cities,17/5/2013,
See You Again,Carrie Underwood,17/5/2013,
Tonight I'm Getting Over You,Carly Rae Jepsen Featuring Nicki Minaj,24/5/2013,
Maybe It Was Memphis,Danielle Bradbery,24/5/2013,
All Over The Road,Easton Corbin,24/5/2013,
Can't Shake You,Gloriana,24/5/2013,
Live It Up,Jennifer Lopez Featuring Pitbull,24/5/2013,
#Beautiful,Mariah Carey Featuring Miguel,24/5/2013,
Runnin' Outta Moonlight,Randy Houser,24/5/2013,
Tapout,"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",24/5/2013,
Treasure,Bruno Mars,31/5/2013,1
I Am Beautiful,Candice Glover,31/5/2013,
Really Don't Care,Demi Lovato Featuring Cher Lloyd,31/5/2013,
A Little Party Never Killed Nobody (All We Got),"Fergie, Q-Tip & GoonRock",31/5/2013,
Little Bit Of Everything,Keith Urban,31/5/2013,
People Like Us,Kelly Clarkson,31/5/2013,
We Own It (Fast & Furious),2 Chainz & Wiz Khalifa,7/6/2013,
Work,A$AP Ferg,7/6/2013,
HeadBand,B.o.B Featuring 2 Chainz,7/6/2013,
Don't Ya,Brett Eldredge,7/6/2013,
"Heads Carolina, Tails California",Danielle Bradbery,7/6/2013,
Play Hard,David Guetta Featuring Ne-Yo & Akon,7/6/2013,
Beneath Your Beautiful,Labrinth Featuring Emeli Sande,7/6/2013,
Love Somebody,Maroon 5,7/6/2013,1
Wit Me,T.I. Featuring Lil Wayne,7/6/2013,
Clouds,Zach Sobiech,7/6/2013,
Grandpa (Tell Me 'Bout The Good Old Days),Danielle Bradbery,14/6/2013,
Point At You,Justin Moore,14/6/2013,
Crazy Kids,Ke$ha Featuring will.i.am Or Juicy J,14/6/2013,
Redneck Crazy,Tyler Farr,14/6/2013,
Wasting All These Tears,Cassadee Pope,21/6/2013,
I Knew You Were Trouble,Michelle Chamuel,21/6/2013,
We Can't Stop,Miley Cyrus,21/6/2013,
Slow Down,Selena Gomez,21/6/2013,
Sweater Weather,The Neighbourhood,21/6/2013,1
Sad,Amber Carrington,28/6/2013,
What About Love,Austin Mahone,28/6/2013,
Who I Am,Danielle Bradbery,28/6/2013,
Please Remember Me,Danielle Bradbery,28/6/2013,
Round Here,Florida Georgia Line,28/6/2013,
I Got You,Jack Johnson,28/6/2013,
Bubble Butt,"Major Lazer Featuring Bruno Mars, Tyga & Mystic",28/6/2013,
Danny's Song,The Swon Brothers,28/6/2013,
Turn The Page,The Swon Brothers,28/6/2013,
It Goes Like This,Thomas Rhett,28/6/2013,
Ooh La La,Britney Spears,5/7/2013,
Born To Fly,Danielle Bradbery,5/7/2013,
Ain't Worried About Nothin,French Montana,5/7/2013,
Crooked Smile,J. Cole Featuring TLC,5/7/2013,
Paper Doll,John Mayer,5/7/2013,1
New Slaves,Kanye West,5/7/2013,
Black Skinhead,Kanye West,5/7/2013,
Blood On The Leaves,Kanye West,5/7/2013,
Why,Michelle Chamuel,5/7/2013,
Counting Stars,OneRepublic,5/7/2013,
Right Now,Rihanna Featuring David Guetta,5/7/2013,
I Can't Tell You Why,The Swon Brothers,5/7/2013,
One,Usher & Michelle Chamuel,5/7/2013,
Wake Me Up!,Avicii,12/7/2013,
Beware,Big Sean Featuring Lil Wayne & Jhene Aiko,12/7/2013,
Don't Think They Know,Chris Brown Featuring Aaliyah,12/7/2013,
Drunk Last Night,Eli Young Band,12/7/2013,
Goodbye Town,Lady Antebellum,12/7/2013,
Parking Lot Party,Lee Brice,12/7/2013,
Feds Watching,2 Chainz Featuring Pharrell,19/7/2013,0
I'm Out,Ciara Featuring Nicki Minaj,19/7/2013,
Without Me,Fantasia Featuring Kelly Rowland & Missy Elliott,19/7/2013,
Live For The Night,Krewella,19/7/2013,
Royals,Lorde,19/7/2013,0
Easy,Sheryl Crow,19/7/2013,
LoveHate Thing,Wale Featuring Sam Dew,19/7/2013,
Part II (On The Run),Jay Z Featuring Beyonce,26/7/2013,
Oceans,Jay Z Featuring Frank Ocean,26/7/2013,
Holy Grail,Jay Z Featuring Justin Timberlake,26/7/2013,
F*ckwithmeyouknowigotit,Jay Z Featuring Rick Ross,26/7/2013,
Tom Ford,JAY-Z,26/7/2013,
Picasso Baby,JAY-Z,26/7/2013,
Crown,JAY-Z,26/7/2013,
Take Back The Night,Justin Timberlake,26/7/2013,
Acapella,Karmin,26/7/2013,
Summertime Sadness,Lana Del Rey & Cedric Gervais,26/7/2013,
Don't Drop That Thun Thun!,The FiNATTiCZ,26/7/2013,
Hail To The King,Avenged Sevenfold,2/8/2013,
Aw Naw,Chris Young,2/8/2013,
The Heart Of Dixie,Danielle Bradbery,2/8/2013,
Made In The USA,Demi Lovato,2/8/2013,
Miss Movin' On,Fifth Harmony,2/8/2013,
Wildfire,John Mayer,2/8/2013,1
Miss Jackson,Panic! At The Disco Featuring Lolo,2/8/2013,
Type Of Way,Rich Homie Quan,2/8/2013,
Red Nose,Sage The Gemini,2/8/2013,
Baby I,Ariana Grande,9/8/2013,
Love More,Chris Brown Featuring Nicki Minaj,9/8/2013,
Burn,Ellie Goulding,9/8/2013,
Chloe (You're The One I Want),Emblem3,9/8/2013,
When I See This Bar,Kenny Chesney,9/8/2013,
Vivir Mi Vida,Marc Anthony,9/8/2013,
Best Song Ever,One Direction,9/8/2013,
Cruisin' For A Bruisin',"Ross Lynch, Grace Phipps And Jason Evigan",9/8/2013,
Gas Pedal,Sage The Gemini Featuring IamSu!,9/8/2013,
Southern Girl,Tim McGraw,9/8/2013,
Mine Would Be You,Blake Shelton,16/8/2013,
Turn The Night Up,Enrique Iglesias,16/8/2013,
True Love,P!nk Featuring Lily Allen,16/8/2013,
Let Her Go,Passenger,16/8/2013,
Right There,Ariana Grande Featuring Big Sean,23/8/2013,
"Hold On, We're Going Home",Drake Featuring Majid Jordan,23/8/2013,
Roar,Katy Perry,23/8/2013,
Hopeless Wanderer,Mumford & Sons,23/8/2013,
Pompeii,Bastille,30/8/2013,0
Applause,Lady Gaga,30/8/2013,0
Your Side Of The Bed,Little Big Town,30/8/2013,
That's My Kind Of Night,Luke Bryan,30/8/2013,
This Is Gospel,Panic! At The Disco,30/8/2013,
We Own The Night,The Wanted,30/8/2013,
Bruises,Train Featuring Ashley Monroe,30/8/2013,
Almost Is Never Enough,Ariana Grande & Nathan Sykes,6/9/2013,
American Girl,Bonnie McKee,6/9/2013,
Helluva Night,Ludacris,6/9/2013,
Wrecking Ball,Miley Cyrus,6/9/2013,1
Darte Un Beso,Prince Royce,6/9/2013,
Give It 2 U,Robin Thicke Featuring Kendrick Lamar,6/9/2013,
Replay,Zendaya,6/9/2013,
Rock N Roll,Avril Lavigne,13/9/2013,
Gorilla,Bruno Mars,13/9/2013,1
Berzerk,Eminem,13/9/2013,
Loco,Enrique Iglesias Featuring Romeo Santos,13/9/2013,
Oh Sweet Lorraine,Green Shoe Studio Featuring Jacob Colgan & Fred Stobaugh,13/9/2013,
Sunny And 75,Joe Nichols,13/9/2013,
Bounce It,Juicy J Featuring Wale & Trey Songz,13/9/2013,
I Luv This Sh*t,August Alsina Featuring Trinidad James,20/9/2013,
Atlas,Coldplay,20/9/2013,
All Of Me,John Legend,20/9/2013,
Versace,Migos,20/9/2013,
Popular Song,MIKA Featuring Ariana Grande,20/9/2013,
The Fox,Ylvis,20/9/2013,
Act Right,Yo Gotti Featuring Jeezy & YG,20/9/2013,
I Do It,2 Chainz Featuring Drake & Lil Wayne,27/9/2013,
Reflektor,Arcade Fire,27/9/2013,1
Could It Be,Charlie Worsham,27/9/2013,
Outta My Head,Craig Campbell,27/9/2013,
Wu-Tang Forever,Drake,27/9/2013,
Honest,Future,27/9/2013,
We Were Us,Keith Urban And Miranda Lambert,27/9/2013,
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",27/9/2013,
Propuesta Indecente,Romeo Santos,27/9/2013,
Stay The Night,Zedd Featuring Hayley Williams,27/9/2013,
This Is What It Feels Like,Armin van Buuren Featuring Trevor Guthrie,4/10/2013,
You Make Me,Avicii,4/10/2013,
Work B**ch!,Britney Spears,4/10/2013,
Waiting For Superman,Daughtry,4/10/2013,
Best I Ever Had,Gavin DeGraw,4/10/2013,
Monster,Imagine Dragons,4/10/2013,0
TKO,Justin Timberlake,4/10/2013,
Dark Horse,Katy Perry Featuring Juicy J,4/10/2013,
Show Me,Kid Ink Featuring Chris Brown,4/10/2013,
A Light That Never Comes,Linkin Park X Steve Aoki,4/10/2013,
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,4/10/2013,
Lolly,Maejor Ali Featuring Juicy J & Justin Bieber,4/10/2013,
Animals,Martin Garrix,4/10/2013,
Carolina,Parmalee,4/10/2013,
The Language,Drake,11/10/2013,
Furthest Thing,Drake,11/10/2013,
Too Much,Drake,11/10/2013,
Own It,Drake,11/10/2013,
Tuscan Leather,Drake,11/10/2013,
Come Thru,Drake,11/10/2013,
Worst Behavior,Drake,11/10/2013,
All Me,Drake Featuring 2 Chainz & Big Sean,11/10/2013,
Pound Cake / Paris Morton Music 2,Drake Featuring JAY-Z,11/10/2013,
From Time,Drake Featuring Jhene Aiko,11/10/2013,
Team,Lorde,11/10/2013,0
Whatever She's Got,David Nail,18/10/2013,
Marry Me,Jason Derulo,18/10/2013,
Heartbreaker,Justin Bieber,18/10/2013,
Gone,Kanye West Featuring Cam'ron & Consequence,18/10/2013,
Walking On Air,Katy Perry,18/10/2013,
Tennis Court,Lorde,18/10/2013,0
It Won't Stop,Sevyn Streeter Featuring Chris Brown,18/10/2013,
My Hitta,YG Featuring Jeezy & Rich Homie Quan,18/10/2013,
Ready Set Roll,Chase Rice,25/10/2013,
Survival,Eminem,25/10/2013,
Days Of Gold,Jake Owen,25/10/2013,
V.S.O.P.,K. Michelle,25/10/2013,
Adore You,Miley Cyrus,25/10/2013,
Drive,Miley Cyrus,25/10/2013,
Someone Else,Miley Cyrus,25/10/2013,
All Kinds Of Kinds,Miranda Lambert,25/10/2013,
Sirens,Pearl Jam,25/10/2013,
Timber,Pitbull Featuring Ke$ha,25/10/2013,
Chinese Food,Alison Gold,1/11/2013,
Let Me Go,Avril Lavigne Featuring Chad Kroeger,1/11/2013,
Chillin' It,Cole Swindell,1/11/2013,
Radio,Darius Rucker,1/11/2013,
Rap God,Eminem,1/11/2013,
Friday Night,Eric Paslay,1/11/2013,
Stay,Florida Georgia Line,1/11/2013,
All That Matters,Justin Bieber,1/11/2013,
Collard Greens,ScHoolboy Q Featuring Kendrick Lamar,1/11/2013,
Closer,Tegan And Sara,1/11/2013,
Don't Let Me Be Lonely,The Band Perry,1/11/2013,
Sweet Annie,Zac Brown Band,1/11/2013,
The Outsiders,Eric Church,8/11/2013,
Hold Tight,Justin Bieber,8/11/2013,
Unconditionally,Katy Perry,8/11/2013,1
Do What U Want,Lady Gaga Featuring R. Kelly,8/11/2013,
What Now,Rihanna,8/11/2013,
Sweeter Than Fiction,Taylor Swift,8/11/2013,
Rough Water,Travie McCoy Featuring Jason Mraz,8/11/2013,
Wait For A Minute,Tyga & Justin Bieber,8/11/2013,
The Monster,Eminem Featuring Rihanna,15/11/2013,
Recovery,Justin Bieber,15/11/2013,
Venus,Lady Gaga,15/11/2013,
Thriller,Michael Jackson,15/11/2013,0
Story Of My Life,One Direction,15/11/2013,
Say Something,A Great Big World & Christina Aguilera,22/11/2013,
Get Me Bodied,Beyonce,22/11/2013,
Perfume,Britney Spears,22/11/2013,
Beautiful Pain,Eminem Featuring Sia,22/11/2013,
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,22/11/2013,
A Case Of You,James Wolpert,22/11/2013,
Bad Day,Justin Bieber,22/11/2013,
Compass,Lady Antebellum,22/11/2013,
Dope,Lady Gaga,22/11/2013,
Drink A Beer,Luke Bryan,22/11/2013,
Best Day Of My Life,American Authors,29/11/2013,
Livin' On A Prayer,Bon Jovi,29/11/2013,
Up All Night,Jon Pardi,29/11/2013,
All Bad,Justin Bieber,29/11/2013,
Hallelujah,Matthew Schuler,29/11/2013,
Last Christmas,Ariana Grande,6/12/2013,1
Only Time,Enya,6/12/2013,
Love Me Again,John Newman,6/12/2013,
PYD,Justin Bieber Featuring R. Kelly,6/12/2013,
Bound 2,Kanye West,6/12/2013,
Diana,One Direction,6/12/2013,
Midnight Memories,One Direction,6/12/2013,
Strong,One Direction,6/12/2013,
Up Down (Do This All Day),T-Pain Featuring B.o.B,6/12/2013,
Let It Go,Demi Lovato,13/12/2013,
Heart Attack,Enrique Iglesias,13/12/2013,
Alone Together,Fall Out Boy,13/12/2013,
This Is How We Roll,Florida Georgia Line Ft. Jason Derulo & Luke Bryan,13/12/2013,
Let It Go,Idina Menzel,13/12/2013,
When She Says Baby,Jason Aldean,13/12/2013,
Roller Coaster,Justin Bieber,13/12/2013,
At Last,Will Champlin,13/12/2013,
Do I Wanna Know?,Arctic Monkeys,20/12/2013,
Hey Brother,Avicii,20/12/2013,
I. Crawl,Childish Gambino,20/12/2013,
Helluva Life,Frankie Ballard,20/12/2013,
Who You Love,John Mayer Featuring Katy Perry,20/12/2013,1
Change Me,Justin Bieber,20/12/2013,
Underneath The Tree,Kelly Clarkson,20/12/2013,
Old School Love,Lupe Fiasco Featuring Ed Sheeran,20/12/2013,
All The Way Home,Tamar Braxton,20/12/2013,
The Man,Aloe Blacc,27/12/2013,
V. 3005,Childish Gambino,27/12/2013,
Angel,Jacquie Lee,27/12/2013,
Confident,Justin Bieber Featuring Chance The Rapper,27/12/2013,
Cannonball,Lea Michele,27/12/2013,
My Story,R. Kelly Featuring 2 Chainz,27/12/2013,
Saturday,Rebecca Black & Dave Days,27/12/2013,0
XO,Beyonce,3/1/2014,
Mine,Beyonce Featuring Drake,3/1/2014,
Drunk In Love,Beyonce Featuring Jay Z,3/1/2014,1
Bottoms Up,Brantley Gilbert,3/1/2014,
Rockin' Around The Christmas Tree,Brenda Lee,3/1/2014,
I Hold On,Dierks Bentley,3/1/2014,
Talk Dirty,Jason Derulo Featuring 2 Chainz,3/1/2014,
The Christmas Song (Merry Christmas To You),Nat King Cole,3/1/2014,
Paranoid,Ty Dolla $ign Featuring B.o.B,3/1/2014,
Neon Lights,Demi Lovato,10/1/2014,
Turn Down For What,DJ Snake & Lil Jon,10/1/2014,
For The First Time In Forever,Kristen Bell & Idina Menzel,10/1/2014,
Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",10/1/2014,
Young Girls,Bruno Mars,17/1/2014,
19 You + Me,Dan + Shay,17/1/2014,
Drink To That All Night,Jerrod Niemann,17/1/2014,
Happy,Pharrell Williams,17/1/2014,0
Love Don't Die,The Fray,17/1/2014,
Partition,Beyonce,24/1/2014,
Give Me Back My Hometown,Eric Church,24/1/2014,
How I Feel,Flo Rida,24/1/2014,
She Knows,J. Cole Featuring Amber Coffman & The Cults,24/1/2014,
You Sound Good To Me,Lucy Hale,24/1/2014,
Goodnight Kiss,Randy Houser,24/1/2014,
Ride,SoMo,24/1/2014,
Get Me Some Of That,Thomas Rhett,24/1/2014,
Doin' What She Likes,Blake Shelton,31/1/2014,
Thinking About You,Calvin Harris Featuring Ayah Marar,31/1/2014,
Take Me Home,Cash Cash Featuring Bebe Rexha,31/1/2014,
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,31/1/2014,
Oceans (Where Feet May Fail),Hillsong UNITED,31/1/2014,
Rewind,Rascal Flatts,31/1/2014,
Can't Remember To Forget You,Shakira Featuring Rihanna,31/1/2014,
Everything I Shouldn't Be Thinking About,Thompson Square,31/1/2014,
Mmm Yeah,Austin Mahone Featuring Pitbull,7/2/2014,
El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis,7/2/2014,
Invisible,Hunter Hayes,7/2/2014,
They Don't Know,Rico Love,7/2/2014,
Man Of The Year,ScHoolboy Q,7/2/2014,
Chocolate,The 1975,7/2/2014,
Na Na,Trey Songz,7/2/2014,
A Man Who Was Gonna Die Young,Eric Church,14/2/2014,
On Top Of The World,Imagine Dragons,14/2/2014,0
Can't Raise A Man,K. Michelle,14/2/2014,
Follow Your Arrow,Kacey Musgraves,14/2/2014,
Cop Car,Keith Urban,14/2/2014,
Odio,Romeo Santos Featuring Drake,14/2/2014,
Beat Of The Music,Brett Eldredge,21/2/2014,
Human,Christina Perri,21/2/2014,0
The Worst,Jhene Aiko,21/2/2014,
Achy Breaky 2,Buck 22 Featuring Billy Ray Cyrus,28/2/2014,
Explosions,Ellie Goulding,28/2/2014,
You're Mine (Eternal),Mariah Carey,28/2/2014,
Automatic,Miranda Lambert,28/2/2014,
Classic,MKTO,28/2/2014,
