song,artist,date
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,2011-12-30
Safe & Sound,Taylor Swift Featuring The Civil Wars,2012-01-06
Wild Ones,Flo Rida Featuring Sia,2012-01-06
I Do,Young Jeezy Featuring Jay-Z & Andre 3000,2012-01-06
Scary Monsters And Nice Sprites,Skrillex,2012-01-06
Better Than I Know Myself,Adam Lambert,2012-01-06
Stupid Hoe,Nicki Minaj,2012-01-06
Knock Knock,Mac Miller,2012-01-06
Wobble,V.I.C.,2012-01-06
The Champ,Nelly,2012-01-13
Play The Guitar,B.o.B Featuring Andre 3000,2012-01-13
I Won't Give Up,Jason Mraz,2012-01-20
Kyoto,Skrillex Featuring Sirah,2012-01-20
Set You Free,3OH!3,2012-01-20
Somebody That I Used To Know,Gotye Featuring Kimbra,2012-01-20
Where I Come From,Montgomery Gentry,2012-01-20
Gotta Have It,Jay Z Kanye West,2012-01-20
Drive By,Train,2012-01-27
Tattoo,Van Halen,2012-01-27
Called Out In The Dark,Snow Patrol,2012-01-27
Glad You Came,The Wanted,2012-01-27
Video Games,Lana Del Rey,2012-01-27
Don't Stop (Color On The Walls),Foster The People,2012-01-27
Wild Boy,MGK Featuring Waka Flocka Flame,2012-01-27
Without You,Glee Cast,2012-02-03
Faded,Tyga Featuring Lil Wayne,2012-02-03
We Found Love,Glee Cast,2012-02-03
Moves Like Jagger / Jumpin' Jack Flash,Glee Cast,2012-02-03
The First Time Ever I Saw Your Face,Glee Cast,2012-02-03
Summer Nights,Glee Cast,2012-02-03
Mr. Wrong,Mary J. Blige Featuring Drake,2012-02-03
Love's Gonna Make It Alright,George Strait,2012-02-03
No Church In The Wild,Jay Z Kanye West Featuring Frank Ocean,2012-02-03
Drink On It,Blake Shelton,2012-02-10
Sorry For Party Rocking,LMFAO,2012-02-10
Do It Like You,Diggy Featuring Jeremih,2012-02-10
Give Me All Your Luvin',Madonna Featuring Nicki Minaj & M.I.A.,2012-02-17
Smooth Criminal,Glee Cast Featuring 2Cellos,2012-02-17
Human Nature,Glee Cast,2012-02-17
Black Or White,Glee Cast,2012-02-17
Wanna Be Startin' Somethin',Glee Cast,2012-02-17
Bad,Glee Cast,2012-02-17
4 AM,Melanie Fiona,2012-02-17
I Will Always Love You,Whitney Houston,2012-02-24
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,2012-02-24
Greatest Love Of All,Whitney Houston,2012-02-24
Ima Boss,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",2012-02-24
Say Aah,Lindsey Pavao,2012-02-24
Sexy And I Know It,Glee Cast Featuring Ricky Martin,2012-02-24
Somethin' 'Bout A Truck,Kip Moore,2012-02-24
Feel So Close,Calvin Harris,2012-02-24
Drank In My Cup,Kirko Bangz,2012-02-24
La Isla Bonita,Glee Cast Featuring Ricky Martin,2012-02-24
Snitches Ain't...,"YG Featuring Tyga, Snoop Dogg & Nipsey Hussle",2012-02-24
Part Of Me,Katy Perry,2012-03-02
Starships,Nicki Minaj,2012-03-02
Turn Up The Music,Chris Brown,2012-03-02
What Makes You Beautiful,One Direction,2012-03-02
How Will I Know,Whitney Houston,2012-03-02
Runaway Baby,Bruno Mars,2012-03-02
Banjo,Rascal Flatts,2012-03-02
I Will Always Love You,Glee Cast,2012-03-02
I Can Only Imagine,David Guetta Featuring Chris Brown & Lil Wayne,2012-03-02
Stereo Hearts,Glee Cast,2012-03-02
Bangarang,Skrillex Featuring Sirah,2012-03-02
Raise Your Weapon,deadmau5 Featuring Greta Svabo Bech,2012-03-02
So Good,B.o.B,2012-03-09
Good Girl,Carrie Underwood,2012-03-09
Call Me Maybe,Carly Rae Jepsen,2012-03-09
Fly / I Believe I Can Fly,Glee Cast,2012-03-09
Some Nights,fun.,2012-03-09
Birthday Cake,Rihanna Featuring Chris Brown,2012-03-09
Cough Syrup,Glee Cast,2012-03-09
What Doesn't Kill You (Stronger),Glee Cast,2012-03-09
Here's To Us,Glee Cast,2012-03-09
Mutha***** Up,Tyga Featuring Nicki Minaj,2012-03-09
Climax,Usher,2012-03-09
Glad You Came,Glee Cast,2012-03-09
Make It Nasty,Tyga,2012-03-09
Fly Over States,Jason Aldean,2012-03-09
Cough Syrup,Young The Giant,2012-03-09
Live My Life,Far*East Movement Featuring Justin Bieber,2012-03-16
Roman Reloaded,Nicki Minaj Featuring Lil Wayne,2012-03-16
Springsteen,Eric Church,2012-03-16
Ayy Ladies,Travis Porter Featuring Tyga,2012-03-16
UP!,LoveRance Featuring IamSu & Skipper or 50 Cent,2012-03-16
Magic,Future Featuring T.I.,2012-03-16
Thank You,Estelle,2012-03-16
Shadow Days,John Mayer,2012-03-23
Midnight City,M83.,2012-03-23
Brokenhearted,Karmin,2012-03-23
No Hurry,Zac Brown Band,2012-03-23
Sex Ain't Better Than Love,Trey Songz,2012-03-23
Changed,Rascal Flatts,2012-03-30
Everybody Talks,Neon Trees,2012-03-30
One Thing,One Direction,2012-03-30
Even If It Breaks Your Heart,Eli Young Band,2012-03-30
Leave You Alone,Young Jeezy Featuring Ne-Yo,2012-03-30
TTYLXOX,Bella Thorne,2012-03-30
Eyes Open,Taylor Swift,2012-04-06
Too Close,Alex Clare,2012-04-06
Come Away To The Water,Maroon 5 Featuring Rozzi Crane,2012-04-06
This Ole Boy,Craig Morgan,2012-04-06
Bully,Shinedown,2012-04-06
We Run The Night,Havana Brown Featuring Pitbull,2012-04-06
Crew Love,Drake Featuring The Weeknd,2012-04-06
Boyfriend,Justin Bieber,2012-04-13
I Dont Really Care,Waka Flocka Flame Featuring Trey Songz,2012-04-13
Heart Attack,Trey Songz,2012-04-13
She Doesn't Mind,Sean Paul,2012-04-13
Back In Time,Pitbull,2012-04-13
Time Is Love,Josh Turner,2012-04-13
Ai Se Eu Te Pego,Michel Telo,2012-04-13
Got My Country On,Chris Cagle,2012-04-13
Naked,Dev & Enrique Iglesias,2012-04-13
Dance Again,Jennifer Lopez Featuring Pitbull,2012-04-20
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012-04-20
Feel Like A Rock Star,Kenny Chesney & Tim McGraw,2012-04-20
Right By My Side,Nicki Minaj Featuring Chris Brown,2012-04-20
Take It To The Head,"DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne",2012-04-20
Give Your Heart A Break,Demi Lovato,2012-04-20
Beez In The Trap,Nicki Minaj Featuring 2 Chainz,2012-04-20
Va Va Voom,Nicki Minaj,2012-04-20
Love This Life,T.I.,2012-04-20
Another Round,Fat Joe Featuring Chris Brown,2012-04-20
Fine By Me,Andy Grammer,2012-04-20
Little Talks,Of Monsters And Men,2012-04-20
(Kissed You) Good Night,Gloriana,2012-04-20
Is Anybody Out There?,K'Naan Featuring Nelly Furtado,2012-04-20
Somebody That I Used To Know,Glee Cast,2012-04-27
Cashin' Out,Ca$h Out,2012-04-27
Roxanne,Juliet Simms,2012-04-27
Think Like A Man,Jennifer Hudson & Ne-Yo Featuring Rick Ross,2012-04-27
Hungry Like The Wolf / Rio,Glee Cast,2012-04-27
Payphone,Maroon 5 Featuring Wiz Khalifa,2012-05-04
Burn It Down,Linkin Park,2012-05-04
Loud,Mac Miller,2012-05-04
Stay Schemin,Rick Ross Featuring Drake & French Montana,2012-05-04
Way Too Cold,Kanye West Featuring DJ Khaled,2012-05-04
Sweet Love,Chris Brown,2012-05-04
Beers Ago,Toby Keith,2012-05-04
Eyes Wide Open,Gotye,2012-05-04
Tonight (Best You Ever Had),John Legend Featuring Ludacris,2012-05-04
Same Damn Time,Future,2012-05-04
"Work Hard, Play Hard",Wiz Khalifa,2012-05-11
Whistle,Flo Rida,2012-05-11
How Will I Know,Glee Cast,2012-05-11
Scream,Usher,2012-05-11
Let's Go,Calvin Harris Featuring Ne-Yo,2012-05-11
It's Not Right But It's Okay,Glee Cast,2012-05-11
Wanted,Hunter Hayes,2012-05-11
Both Of Us,B.o.B Featuring Taylor Swift,2012-05-18
Blown Away,Carrie Underwood,2012-05-18
"It's A Man's, Man's, Man's World",Juliet Simms,2012-05-18
Shake It Out,Glee Cast,2012-05-18
Why Ya Wanna,Jana Kramer,2012-05-18
Postcard From Paris,The Band Perry,2012-05-18
No Lie,2 Chainz Featuring Drake,2012-05-25
99 Problems,Tony Lucca,2012-05-25
Turn To You (Mother's Day Dedication),Justin Bieber,2012-05-25
Yesterday,Adam Levine & Tony Lucca,2012-05-25
I Believe I Can Fly,Jermaine Paul,2012-05-25
The Prayer,Christina Aguilera & Chris Mann,2012-05-25
5-1-5-0,Dierks Bentley,2012-05-25
Lemme See,Usher Featuring Rick Ross,2012-05-25
Come Over,Kenny Chesney,2012-06-01
Nobody's Perfect,J. Cole Featuring Missy Elliott,2012-06-01
The Fighter,Gym Class Heroes Featuring Ryan Tedder,2012-06-01
Angel Eyes,Love And Theft,2012-06-01
Cowboys And Angels,Dustin Lynch,2012-06-01
Home,Phillip Phillips,2012-06-08
Wide Awake,Katy Perry,2012-06-08
Around My Way (Freedom Ain't Free),Lupe Fiasco,2012-06-08
Don't Wake Me Up,Chris Brown,2012-06-08
Undefeated,Jason Derulo,2012-06-08
How We Do (Party),Rita Ora,2012-06-08
We've Got Tonight,Phillip Phillips,2012-06-08
Die In Your Arms,Justin Bieber,2012-06-15
I'm All Yours,Jay Sean Featuring Pitbull,2012-06-15
Chasing The Sun,The Wanted,2012-06-15
For You,Keith Urban,2012-06-15
All Around The World,Justin Bieber Featuring Ludacris,2012-06-22
My Homies Still,Lil Wayne Featuring Big Sean,2012-06-22
Pontoon,Little Big Town,2012-06-22
Get Low,"Waka Flocka Flame Featuring Nicki Minaj, Tyga & Flo Rida",2012-06-22
Ho Hey,The Lumineers,2012-06-22
It's Time,Imagine Dragons,2012-06-22
Gold On The Ceiling,The Black Keys,2012-06-22
Glass,Thompson Square,2012-06-22
As Long As You Love Me,Justin Bieber Featuring Big Sean,2012-06-29
Want U Back,Cher Lloyd,2012-06-29
Over,Blake Shelton,2012-06-29
She's So Mean,matchbox twenty,2012-06-29
Hard To Love,Lee Brice,2012-06-29
Snap Backs & Tattoos,Driicky Graham,2012-06-29
One More Night,Maroon 5,2012-07-06
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2012-07-06
Amen,Meek Mill Featuring Drake,2012-07-06
Dark Side,Kelly Clarkson,2012-07-06
Right Here,Justin Bieber Featuring Drake,2012-07-06
Lovin' You Is Fun,Easton Corbin,2012-07-06
Good Time,Owl City & Carly Rae Jepsen,2012-07-13
Wipe Your Eyes,Maroon 5,2012-07-13
Promises,NERO,2012-07-13
Bag Of Money,"Wale Featuring Rick Ross, Meek Mill & T-Pain",2012-07-13
Lost In The Echo,Linkin Park,2012-07-13
Windows Down,Big Time Rush,2012-07-13
The Wind,Zac Brown Band,2012-07-13
Blow Me (One Last Kiss),P!nk,2012-07-20
Truck Yeah,Tim McGraw,2012-07-20
I Wish You Would,DJ Khaled Featuring Kanye West & Rick Ross,2012-07-20
2 Reasons,Trey Songz Featuring T.I.,2012-07-20
Get It Started,Pitbull Featuring Shakira,2012-07-20
Thinkin Bout You,Frank Ocean,2012-07-27
Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne",2012-07-27
Something To Do With My Hands,Thomas Rhett,2012-07-27
The A Team,Ed Sheeran,2012-07-27
50 Ways To Say Goodbye,Train,2012-07-27
That's Why I Pray,Big & Rich,2012-07-27
Take A Little Ride,Jason Aldean,2012-08-03
Settle Down,No Doubt,2012-08-03
Go Get It,T.I.,2012-08-03
Runaways,The Killers,2012-08-03
Mercy,Dave Matthews Band,2012-08-03
New God Flow,Pusha T Kanye West,2012-08-10
Birthday Song,2 Chainz Featuring Kanye West,2012-08-10
Pound The Alarm,Nicki Minaj,2012-08-10
Fastest Girl In Town,Miranda Lambert,2012-08-10
Come Wake Me Up,Rascal Flatts,2012-08-10
Neon,Chris Young,2012-08-10
New Day,50 Cent Featuring Dr. Dre & Alicia Keys,2012-08-17
Adorn,Miguel,2012-08-17
Diced Pineapples,Rick Ross Featuring Wale & Drake,2012-08-17
Radioactive,Imagine Dragons,2012-08-17
Enough Of No Love,Keyshia Cole Featuring Lil Wayne,2012-08-17
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2012-08-17
Swimming Pools (Drank),Kendrick Lamar,2012-08-17
I Will Wait,Mumford & Sons,2012-08-24
We Are Never Ever Getting Back Together,Taylor Swift,2012-08-24
Turn On The Lights,Future,2012-08-24
The One That Got Away,Jake Owen,2012-08-24
Oh Love,Green Day,2012-08-24
Yuck!,2 Chainz Featuring Lil Wayne,2012-08-31
Lamborghini Angels,Lupe Fiasco,2012-08-31
Put It Down,Brandy Featuring Chris Brown,2012-08-31
Cruise,Florida Georgia Line Featuring Nelly,2012-08-31
Madness,Muse,2012-09-07
Hall Of Fame,The Script Featuring will.i.am,2012-09-07
Kiss Tomorrow Goodbye,Luke Bryan,2012-09-07
Dive In,Trey Songz,2012-09-07
Creepin',Eric Church,2012-09-07
Throw That,Slaughterhouse Featuring Eminem,2012-09-07
I Don't Like,Chief Keef Featuring Lil Reese,2012-09-07
Feel Again,OneRepublic,2012-09-14
Battle Scars,Lupe Fiasco & Guy Sebastian,2012-09-14
Hello,Karmin,2012-09-14
Shinin' On Me,Jerrod Niemann,2012-09-14
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2012-09-14
Take A Walk,Passion Pit,2012-09-14
Ice,Kelly Rowland Featuring Lil Wayne,2012-09-14
Ronan,Taylor Swift,2012-09-21
Girl On Fire,Alicia Keys Featuring Nicki Minaj,2012-09-21
Clique,"Kanye West, Jay-Z, Big Sean",2012-09-21
Gangnam Style,PSY,2012-09-21
No Worries,Lil Wayne Featuring Detail,2012-09-21
Dance For You,Beyonce,2012-09-21
Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,2012-09-28
Between The Raindrops,Lifehouse Featuring Natasha Bedingfield,2012-09-28
This Kiss,Carly Rae Jepsen,2012-09-28
Finally Found You,Enrique Iglesias Featuring Sammy Adams,2012-09-28
It's Time,Glee Cast,2012-09-28
Heart Skips A Beat,Olly Murs Featuring Chiddy Bang,2012-09-28
Til My Last Day,Justin Moore,2012-09-28
Your Body,Christina Aguilera,2012-10-05
Try,P!nk,2012-10-05
Don't You Worry Child,Swedish House Mafia Featuring John Martin,2012-10-05
To The World,"Kanye West, R. Kelly",2012-10-05
Celebration,"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",2012-10-05
Beautiful,Carly Rae Jepsen Featuring Justin Bieber,2012-10-05
Numb,Usher,2012-10-05
Beer Money,Kip Moore,2012-10-05
Did It For The Girl,Greg Bates,2012-10-05
Begin Again,Taylor Swift,2012-10-12
Die Young,Ke$ha,2012-10-12
Diamonds,Rihanna,2012-10-12
Babel,Mumford & Sons,2012-10-12
I Cry,Flo Rida,2012-10-12
Lover's Eyes,Mumford & Sons,2012-10-12
Whispers In The Dark,Mumford & Sons,2012-10-12
Don't Stop The Party,Pitbull Featuring TJR,2012-10-12
Holland Road,Mumford & Sons,2012-10-12
Ghosts That We Knew,Mumford & Sons,2012-10-12
Live While We're Young,One Direction,2012-10-19
Red,Taylor Swift,2012-10-19
Skyfall,Adele,2012-10-19
Locked Out Of Heaven,Bruno Mars,2012-10-19
Southern Comfort Zone,Brad Paisley,2012-10-19
Just What I Am,Kid Cudi Featuring King Chip,2012-10-19
Every Storm (Runs Out Of Rain),Gary Allan,2012-10-19
The Scientist,Glee Cast,2012-10-19
Lover Of The Light,Mumford & Sons,2012-10-19
My Moment,"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih",2012-10-19
How Country Feels,Randy Houser,2012-10-19
I Knew You Were Trouble.,Taylor Swift,2012-10-26
Anything Could Happen,Ellie Goulding,2012-10-26
El Cerrito Place,Kenny Chesney,2012-10-26
Goodbye In Her Eyes,Zac Brown Band,2012-10-26
State Of Grace,Taylor Swift,2012-11-02
Ball,T.I. Featuring Lil Wayne,2012-11-02
Catch My Breath,Kelly Clarkson,2012-11-02
Night Train,Jason Aldean,2012-11-02
Sweet Nothing,Calvin Harris Featuring Florence Welch,2012-11-02
Ready Or Not,Bridgit Mendler,2012-11-02
22,Taylor Swift,2012-11-09
I Almost Do,Taylor Swift,2012-11-09
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,2012-11-09
Poetic Justice,Kendrick Lamar Featuring Drake,2012-11-09
All Too Well,Taylor Swift,2012-11-09
Stay Stay Stay,Taylor Swift,2012-11-09
Fade Into You,Sam Palladio & Clare Bowen,2012-11-09
m.A.A.d City,Kendrick Lamar Featuring MC Eiht,2012-11-09
Young & Gettin' It,Meek Mill Featuring Kirko Bangz,2012-11-09
Better Dig Two,The Band Perry,2012-11-16
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",2012-11-16
Don't Judge Me,Chris Brown,2012-11-16
Wicked Games,The Weeknd,2012-11-16
Don't Rush,Kelly Clarkson Featuring Vince Gill,2012-11-16
If I Didn't Have You,Thompson Square,2012-11-16
Tip It On Back,Dierks Bentley,2012-11-16
Rest Of My Life,Ludacris Featuring Usher & David Guetta,2012-11-23
The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church,2012-11-23
I Found You,The Wanted,2012-11-23
Tornado,Little Big Town,2012-11-23
Little Things,One Direction,2012-11-30
A Thousand Years (Part 2),Christina Perri Featuring Steve Kazee,2012-11-30
Just A Fool,Christina Aguilera With Blake Shelton,2012-11-30
Kiss You,One Direction,2012-11-30
I'm Different,2 Chainz,2012-11-30
Over You,Cassadee Pope,2012-12-07
Seven Nation Army,Melanie Martinez,2012-12-07
Give It All We Got Tonight,George Strait,2012-12-07
Stars,Grace Potter & The Nocturnals,2012-12-07
Stars,Amanda Brown,2012-12-07
Remember You,Wiz Khalifa Featuring The Weeknd,2012-12-07
Somebody's Heartbreak,Hunter Hayes,2012-12-07
Scream & Shout,will.i.am & Britney Spears,2012-12-14
My Life,50 Cent Featuring Eminem & Adam Levine,2012-12-14
Too Close,Melanie Martinez,2012-12-14
Are You Happy Now?,Cassadee Pope,2012-12-14
One Of Those Nights,Tim McGraw,2012-12-14
Representin',Ludacris Featuring Kelly Rowland,2012-12-14
Oath,Cher Lloyd Featuring Becky G,2012-12-14
All I Want For Christmas Is You,Mariah Carey,2012-12-21
Love And War,Tamar Braxton,2012-12-21
When I Was Your Man,Bruno Mars,2012-12-21
Daylight,Maroon 5,2012-12-21
I Want To Know What Love Is,Terry McDermott,2012-12-21
Stubborn Love,The Lumineers,2012-12-21
Let It Go,Wiz Khalifa Featuring Akon,2012-12-21
Somewhere Over The Rainbow,Nicholas David,2012-12-21
Neva End,Future,2012-12-21
Stupid Boy,Cassadee Pope,2012-12-28
Let It Be,Terry McDermott,2012-12-28
Love Sosa,Chief Keef,2012-12-28
Merry Go 'round,Kacey Musgraves,2012-12-28
Guap,Big Sean,2012-12-28
Two Black Cadillacs,Carrie Underwood,2012-12-28
Who Booty,Jonn Hart Featuring IamSU!,2012-12-28
All Gold Everything,Trinidad James,2012-12-28
Cry,Cassadee Pope,2013-01-04
King Wizard,Kid Cudi,2013-01-04
C'mon,Ke$ha,2013-01-04
Crying On A Suitcase,Casey James,2013-01-04
I Dreamed A Dream,Anne Hathaway,2013-01-11
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2013-01-11
Bellas Finals: Price Tag / Don't You (Forget About Me)...,The Barden Bellas,2013-01-11
Rock Me,One Direction,2013-01-11
Pour It Up,Rihanna,2013-01-18
I Drive Your Truck,Lee Brice,2013-01-18
Riff Off: Mickey / Like A Virgin / Hit Me With Your Best Shot...,"The Barden Bellas, The Treblemakers & The BU Harmonics",2013-01-18
On My Own,Samantha Barks,2013-01-18
Carry On,fun.,2013-01-18
Sure Be Cool If You Did,Blake Shelton,2013-01-25
The Moment I Knew,Taylor Swift,2013-01-25
If I Lose Myself,OneRepublic,2013-01-25
Suit & Tie,Justin Timberlake Featuring JAY Z,2013-01-25
We Still In This B****,B.o.B Featuring T.I. & Juicy J,2013-01-25
Demons,Imagine Dragons,2013-01-25
"Bitch, Don't Kill My Vibe",Kendrick Lamar,2013-01-25
Love Me,Lil Wayne Featuring Drake & Future,2013-02-01
Wild For The Night,A$AP Rocky Featuring Skrillex,2013-02-01
Long Live A$AP,A$AP Rocky,2013-02-01
Troublemaker,Olly Murs Featuring Flo Rida,2013-02-01
Wagon Wheel,Darius Rucker,2013-02-01
Dope,Tyga Featuring Rick Ross,2013-02-08
Mama's Broken Heart,Miranda Lambert,2013-02-08
Bad Ass,Kid Ink Featuring Meek Mill & Wale,2013-02-08
Get Your Shine On,Florida Georgia Line,2013-02-08
Let There Be Cowgirls,Chris Cagle,2013-02-08
Feel This Moment,Pitbull Featuring Christina Aguilera,2013-02-08
Nothing Like Us,Justin Bieber,2013-02-15
Yolo,The Lonely Island Featuring Adam Levine & Kendrick Lamar,2013-02-15
I Love It,Icona Pop Featuring Charli XCX,2013-02-15
Let Me Love You (Until You Learn To Love Yourself),Glee Cast,2013-02-15
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2013-02-15
As Long As You Love Me (Acoustic),Justin Bieber,2013-02-15
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,2013-02-15
Loveeeeeee Song,Rihanna Featuring Future,2013-02-15
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2013-02-22
Downtown,Lady Antebellum,2013-02-22
Stay,Rihanna Featuring Mikky Ekko,2013-02-22
Highway Don't Care,Tim McGraw With Taylor Swift,2013-02-22
Started From The Bottom,Drake,2013-02-22
Pirate Flag,Kenny Chesney,2013-02-22
R.I.P.,Young Jeezy Featuring 2 Chainz,2013-02-22
I Can Take It From There,Chris Young,2013-02-22
Bad,Wale Featuring Tiara Thomas Or Rihanna,2013-02-22
Harlem Shake,Baauer,2013-03-01
Mirrors,Justin Timberlake,2013-03-01
One Way Or Another (Teenage Kicks),One Direction,2013-03-01
Bugatti,Ace Hood Featuring Future & Rick Ross,2013-03-01
Just Give Me A Reason,P!nk Featuring Nate Ruess,2013-03-01
Power Trip,J. Cole Featuring Miguel,2013-03-01
She Don't Put It Down,Joe Budden Featuring Lil Wayne & Tank,2013-03-01
Alive,Krewella,2013-03-01
Hold On,Alabama Shakes,2013-03-01
Hey Porsche,Nelly,2013-03-08
As Your Friend,Afrojack Featuring Chris Brown,2013-03-08
Next To Me,Emeli Sande,2013-03-08
Like Jesus Does,Eric Church,2013-03-08
Karate Chop (Remix),Future Featuring Lil Wayne,2013-03-08
Heart Attack,Demi Lovato,2013-03-15
Gold,Britt Nicole,2013-03-15
It's A Beautiful Day,Michael Buble,2013-03-15
More Than Miles,Brantley Gilbert,2013-03-15
Levitate,Hadouken!,2013-03-15
Buzzkill,Luke Bryan,2013-03-22
Kisses Down Low,Kelly Rowland,2013-03-22
Beat This Summer,Brad Paisley,2013-03-22
Show Out,Juicy J Featuring Big Sean & Young Jeezy,2013-03-22
"Gone, Gone, Gone",Phillip Phillips,2013-03-22
Freaks,French Montana Featuring Nicki Minaj,2013-03-29
DONE.,The Band Perry,2013-03-29
So Many Girls,"DJ Drama Featuring Wale, Tyga & Roscoe Dash",2013-03-29
1994,Jason Aldean,2013-03-29
#thatPOWER,will.i.am Featuring Justin Bieber,2013-04-05
Pusher Love Girl,Justin Timberlake,2013-04-05
Molly,"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",2013-04-05
Rich As F**k,Lil Wayne Featuring 2 Chainz,2013-04-05
Wop,J. Dash,2013-04-05
Clarity,Zedd Featuring Foxes,2013-04-05
Anywhere With You,Jake Owen,2013-04-05
Hey Pretty Girl,Kip Moore,2013-04-05
The Way,Ariana Grande Featuring Mac Miller,2013-04-12
Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,2013-04-12
The Phoenix,Fall Out Boy,2013-04-12
Lego House,Ed Sheeran,2013-04-12
Fine China,Chris Brown,2013-04-19
Pom Poms,Jonas Brothers,2013-04-19
High School,Nicki Minaj Featuring Lil Wayne,2013-04-19
Wings,Little Mix,2013-04-19
Gentleman,PSY,2013-04-26
Crash My Party,Luke Bryan,2013-04-26
I Want Crazy,Hunter Hayes,2013-04-26
Come & Get It,Selena Gomez,2013-04-26
I Hit It First,Ray J Featuring Bobby Brackins,2013-04-26
Here's To Never Growing Up,Avril Lavigne,2013-04-26
Accidental Racist,Brad Paisley Featuring LL Cool J,2013-04-26
Still Into You,Paramore,2013-04-26
Just Keep Breathing,WE the Kings,2013-04-26
See You Tonight,Scotty McCreery,2013-04-26
Ready,Fabolous Featuring Chris Brown,2013-04-26
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,2013-04-26
Get Lucky,Daft Punk Featuring Pharrell Williams,2013-05-03
Fall Down,will.i.am Featuring Miley Cyrus,2013-05-03
The Other Side,Jason Derulo,2013-05-03
I Need Your Love,Calvin Harris Featuring Ellie Goulding,2013-05-03
How Many Drinks?,Miguel,2013-05-03
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013-05-03
Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa,2013-05-03
Body Party,Ciara,2013-05-10
No New Friends (SFTB Remix),"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2013-05-10
Brave,Sara Bareilles,2013-05-10
Young And Beautiful,Lana Del Rey,2013-05-10
Memories Back Then,"Hustle Gang Featuring T.I., B.o.B, Kendrick Lamar & Kris Stephens",2013-05-10
Jump Right In,Zac Brown Band,2013-05-10
Hey Girl,Billy Currington,2013-05-17
See You Again,Carrie Underwood,2013-05-17
Sexy People (The Fiat Song),Arianna Featuring Pitbull,2013-05-17
Safe And Sound,Capital Cities,2013-05-17
#Beautiful,Mariah Carey Featuring Miguel,2013-05-24
Live It Up,Jennifer Lopez Featuring Pitbull,2013-05-24
Can't Shake You,Gloriana,2013-05-24
Tonight I'm Getting Over You,Carly Rae Jepsen Featuring Nicki Minaj,2013-05-24
Runnin' Outta Moonlight,Randy Houser,2013-05-24
Maybe It Was Memphis,Danielle Bradbery,2013-05-24
All Over The Road,Easton Corbin,2013-05-24
Tapout,"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",2013-05-24
Treasure,Bruno Mars,2013-05-31
A Little Party Never Killed Nobody (All We Got),"Fergie, Q-Tip & GoonRock",2013-05-31
I Am Beautiful,Candice Glover,2013-05-31
Little Bit Of Everything,Keith Urban,2013-05-31
Really Don't Care,Demi Lovato Featuring Cher Lloyd,2013-05-31
People Like Us,Kelly Clarkson,2013-05-31
Clouds,Zach Sobiech,2013-06-07
Love Somebody,Maroon 5,2013-06-07
We Own It (Fast & Furious),2 Chainz & Wiz Khalifa,2013-06-07
HeadBand,B.o.B Featuring 2 Chainz,2013-06-07
Play Hard,David Guetta Featuring Ne-Yo & Akon,2013-06-07
Beneath Your Beautiful,Labrinth Featuring Emeli Sande,2013-06-07
"Heads Carolina, Tails California",Danielle Bradbery,2013-06-07
Wit Me,T.I. Featuring Lil Wayne,2013-06-07
Don't Ya,Brett Eldredge,2013-06-07
Work,A$AP Ferg,2013-06-07
Crazy Kids,Ke$ha Featuring will.i.am Or Juicy J,2013-06-14
Grandpa (Tell Me 'Bout The Good Old Days),Danielle Bradbery,2013-06-14
Redneck Crazy,Tyler Farr,2013-06-14
Point At You,Justin Moore,2013-06-14
We Can't Stop,Miley Cyrus,2013-06-21
Wasting All These Tears,Cassadee Pope,2013-06-21
Slow Down,Selena Gomez,2013-06-21
I Knew You Were Trouble,Michelle Chamuel,2013-06-21
Sweater Weather,The Neighbourhood,2013-06-21
Danny's Song,The Swon Brothers,2013-06-28
What About Love,Austin Mahone,2013-06-28
