song,artist,date,loveSong
Danza Kuduro,Don Omar & Lucenzo,20/5/2011,
No Idea,Don Toliver,13/12/2019,
Cardigan,Don Toliver,27/3/2020,
After Party,Don Toliver,1/5/2020,
HAD ENOUGH,Don Toliver Featuring Quavo & Offset,10/1/2020,
If Only,Dove Cameron,21/8/2015,
Rotten To The Core,"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",21/8/2015,
Night Falls,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",23/8/2019,
I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,18/2/2011,
Kush,Dr. Dre Featuring Snoop Dogg & Akon,3/12/2010,
Over,Drake,26/3/2010,0
Find Your Love,Drake,21/5/2010,1
9 AM In Dallas,Drake,2/7/2010,0
Marvins Room,Drake,5/8/2011,
Headlines,Drake,26/8/2011,
Hate Sleeping Alone,Drake,2/12/2011,
Shot For Me,Drake,2/12/2011,
Started From The Bottom,Drake,22/2/2013,
Wu-Tang Forever,Drake,27/9/2013,
The Language,Drake,11/10/2013,
Furthest Thing,Drake,11/10/2013,
Too Much,Drake,11/10/2013,
Own It,Drake,11/10/2013,
Tuscan Leather,Drake,11/10/2013,
Come Thru,Drake,11/10/2013,
Worst Behavior,Drake,11/10/2013,
0 To 100 / The Catch Up,Drake,8/8/2014,
Energy,Drake,27/2/2015,
Legend,Drake,27/2/2015,
10 Bands,Drake,27/2/2015,
Know Yourself,Drake,6/3/2015,
No Tellin',Drake,6/3/2015,
6 God,Drake,6/3/2015,
Now & Forever,Drake,6/3/2015,
6 Man,Drake,6/3/2015,
Back To Back,Drake,21/8/2015,
Hotline Bling,Drake,21/8/2015,
Charged Up,Drake,21/8/2015,
Right Hand,Drake,2/10/2015,
30 For 30 Freestyle,Drake,9/10/2015,
Summer Sixteen,Drake,19/2/2016,
Hype,Drake,20/5/2016,
Controlla,Drake,20/5/2016,
Still Here,Drake,20/5/2016,
U With Me?,Drake,20/5/2016,
9,Drake,20/5/2016,
Childs Play,Drake,20/5/2016,
Feel No Ways,Drake,20/5/2016,
Weston Road Flows,Drake,20/5/2016,
Redemption,Drake,20/5/2016,
Keep The Family Close,Drake,20/5/2016,
Fire & Desire,Drake,20/5/2016,
Views,Drake,20/5/2016,
Fake Love,Drake,11/11/2016,
"Two Birds, One Stone",Drake,18/11/2016,
Passionfruit,Drake,7/4/2017,
Free Smoke,Drake,7/4/2017,
Gyalchester,Drake,7/4/2017,
Teenage Fever,Drake,7/4/2017,
Blem,Drake,7/4/2017,
Jorja Interlude,Drake,7/4/2017,
Madiba Riddim,Drake,7/4/2017,
Do Not Disturb,Drake,7/4/2017,
Nothings Into Somethings,Drake,7/4/2017,
Lose You,Drake,7/4/2017,
Skepta Interlude,Drake,7/4/2017,
Can't Have Everything,Drake,7/4/2017,
Signs,Drake,14/7/2017,
God's Plan,Drake,2/2/2018,
Diplomatic Immunity,Drake,2/2/2018,
Nice For What,Drake,20/4/2018,
I'm Upset,Drake,8/6/2018,
Nonstop,Drake,13/7/2018,
In My Feelings,Drake,13/7/2018,
Emotionless,Drake,13/7/2018,
Mob Ties,Drake,13/7/2018,
Elevate,Drake,13/7/2018,
Survival,Drake,13/7/2018,
Can't Take A Joke,Drake,13/7/2018,
8 Out Of 10,Drake,13/7/2018,
Sandra's Rose,Drake,13/7/2018,
Summer Games,Drake,13/7/2018,
Blue Tint,Drake,13/7/2018,
Jaded,Drake,13/7/2018,
Is There More,Drake,13/7/2018,
That's How You Feel,Drake,13/7/2018,
Peak,Drake,13/7/2018,
Finesse,Drake,13/7/2018,
Ratchet Happy Birthday,Drake,13/7/2018,
Final Fantasy,Drake,13/7/2018,
Mar-14,Drake,13/7/2018,
Omerta,Drake,28/6/2019,
Trust Issues,Drake,16/8/2019,
How About Now,Drake,16/8/2019,
The Motion,Drake,16/8/2019,
Dreams Money Can Buy,Drake,16/8/2019,
Club Paradise,Drake,16/8/2019,
Days In The East,Drake,16/8/2019,
Behind Barz,Drake,27/9/2019,
Toosie Slide,Drake,17/4/2020,
Time Flies,Drake,15/5/2020,
Deep Pockets,Drake,15/5/2020,
When To Say When,Drake,15/5/2020,
Landed,Drake,15/5/2020,
From Florida With Love,Drake,15/5/2020,
Losses,Drake,15/5/2020,
War,Drake,15/5/2020,
Jumpman,Drake & Future,9/10/2015,
Diamonds Dancing,Drake & Future,9/10/2015,
Big Rings,Drake & Future,9/10/2015,
Digital Dash,Drake & Future,9/10/2015,
Live From The Gutter,Drake & Future,9/10/2015,
Scholarships,Drake & Future,9/10/2015,
I'm The Plug,Drake & Future,9/10/2015,
Plastic Bag,Drake & Future,16/10/2015,
Change Locations,Drake & Future,16/10/2015,
All Me,Drake Featuring 2 Chainz & Big Sean,11/10/2013,
Sacrifices,Drake Featuring 2 Chainz & Young Thug,7/4/2017,
Sneakin',Drake Featuring 21 Savage,11/11/2016,
Fireworks,Drake Featuring Alicia Keys,2/7/2010,0
We'll Be Fine,Drake Featuring Birdman,2/12/2011,
Not You Too,Drake Featuring Chris Brown,15/5/2020,
Demons,Drake Featuring Fivio Foreign & Sosa Geek,15/5/2020,
Grammys,Drake Featuring Future,20/5/2016,
Desires,Drake Featuring Future,15/5/2020,
No Long Talk,Drake Featuring Giggs,7/4/2017,
KMT,Drake Featuring Giggs,7/4/2017,
Chicago Freestyle,Drake Featuring Giveon,15/5/2020,
Pound Cake / Paris Morton Music 2,Drake Featuring JAY-Z,11/10/2013,
Talk Up,Drake Featuring JAY-Z,13/7/2018,
From Time,Drake Featuring Jhene Aiko,11/10/2013,
Get It Together,Drake Featuring Jorja Smith & Black Coffee,7/4/2017,
Glow,Drake Featuring Kanye West,7/4/2017,
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",1/1/2010,0
Laugh Now Cry Later,Drake Featuring Lil Durk,28/8/2020,
Miss Me,Drake Featuring Lil Wayne,18/6/2010,0
The Motto,Drake Featuring Lil Wayne,2/12/2011,
HYFR (Hell Ya F*****g Right),Drake Featuring Lil Wayne,2/12/2011,
Used To,Drake Featuring Lil Wayne,27/2/2015,
I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,1/1/2010,0
"Hold On, We're Going Home",Drake Featuring Majid Jordan,23/8/2013,
Don't Matter To Me,Drake Featuring Michael Jackson,13/7/2018,
Up All Night,Drake Featuring Nicki Minaj,2/7/2010,0
Make Me Proud,Drake Featuring Nicki Minaj,28/10/2011,
Preach,Drake Featuring PARTYNEXTDOOR,27/2/2015,
With You,Drake Featuring PARTYNEXTDOOR,20/5/2016,
Since Way Back,Drake Featuring PARTYNEXTDOOR,7/4/2017,
Faithful,Drake Featuring Pimp C & dvsn,20/5/2016,
Pain 1993,Drake Featuring Playboi Carti,15/5/2020,
Portland,Drake Featuring Quavo & Travis Scott,7/4/2017,
Money In The Grave,Drake Featuring Rick Ross,28/6/2019,
Take Care,Drake Featuring Rihanna,2/12/2011,
Too Good,Drake Featuring Rihanna,20/5/2016,
4422,Drake Featuring Sampha,7/4/2017,
After Dark,Drake Featuring Static Major & Ty Dolla $ign,13/7/2018,
Fancy,Drake Featuring T.I. & Swizz Beatz,2/7/2010,0
Pop Style,Drake Featuring The Throne,22/4/2016,
Crew Love,Drake Featuring The Weeknd,6/4/2012,
One Dance,Drake Featuring WizKid & Kyla,22/4/2016,
Ice Melts,Drake Featuring Young Thug,7/4/2017,
Costa Rica,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",19/7/2019,
Under The Sun,"Dreamville Featuring J. Cole, Lute & DaBaby",19/7/2019,
Down Bad,"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",28/6/2019,
Body,Dreezy Featuring Jeremih,8/4/2016,
Snap Backs & Tattoos,Driicky Graham,29/6/2012,
Blow Your Mind (Mwah),Dua Lipa,4/11/2016,
New Rules,Dua Lipa,18/8/2017,
IDGAF,Dua Lipa,26/1/2018,
Don't Start Now,Dua Lipa,15/11/2019,
Physical,Dua Lipa,14/2/2020,
Break My Heart,Dua Lipa,10/4/2020,
Kiss And Make Up,Dua Lipa & BLACKPINK,2/11/2018,
Levitating,Dua Lipa Featuring DaBaby,16/10/2020,
Barbra Streisand,Duck Sauce,13/5/2011,
Cowboys And Angels,Dustin Lynch,1/6/2012,
"Where It's At (Yep, Yep)",Dustin Lynch,2/5/2014,
Hell Of A Night,Dustin Lynch,19/6/2015,
Mind Reader,Dustin Lynch,11/3/2016,
Seein' Red,Dustin Lynch,13/1/2017,
Small Town Boy,Dustin Lynch,23/6/2017,
Good Girl,Dustin Lynch,23/11/2018,
Ridin' Roads,Dustin Lynch,15/11/2019,
You're Welcome,Dwayne Johnson,16/12/2016,
My Girl,Dylan Scott,12/5/2017,
Hooked,Dylan Scott,27/7/2018,
A Little More Country Than That,Easton Corbin,22/1/2010,0
Roll With It,Easton Corbin,30/7/2010,1
I Can't Love You Back,Easton Corbin,25/3/2011,
Lovin' You Is Fun,Easton Corbin,6/7/2012,
All Over The Road,Easton Corbin,24/5/2013,
Baby Be My Love Song,Easton Corbin,24/4/2015,
A Girl Like You,Easton Corbin,16/2/2018,
Boyz-N-The Hood,Eazy-E,4/9/2015,
Cool Kids,Echosmith,25/7/2014,
Bright,Echosmith,27/3/2015,
The A Team,Ed Sheeran,27/7/2012,0
Lego House,Ed Sheeran,12/4/2013,1
Sing,Ed Sheeran,25/4/2014,0
One,Ed Sheeran,30/5/2014,1
Don't,Ed Sheeran,27/6/2014,1
Afire Love,Ed Sheeran,4/7/2014,
Thinking Out Loud,Ed Sheeran,24/10/2014,1
Make It Rain,Ed Sheeran,19/12/2014,
Photograph,Ed Sheeran,29/5/2015,1
Shape Of You,Ed Sheeran,27/1/2017,1
Castle On The Hill,Ed Sheeran,27/1/2017,0
How Would You Feel (Paean),Ed Sheeran,10/3/2017,
Perfect,Ed Sheeran,24/3/2017,1
Dive,Ed Sheeran,24/3/2017,1
Galway Girl,Ed Sheeran,24/3/2017,
Happier,Ed Sheeran,24/3/2017,
New Man,Ed Sheeran,24/3/2017,
Supermarket Flowers,Ed Sheeran,24/3/2017,0
What Do I Know?,Ed Sheeran,24/3/2017,
Eraser,Ed Sheeran,24/3/2017,
Hearts Don't Break Around Here,Ed Sheeran,24/3/2017,
Barcelona,Ed Sheeran,24/3/2017,
I Don't Care,Ed Sheeran & Justin Bieber,24/5/2019,
Antisocial,Ed Sheeran & Travis Scott,26/7/2019,
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,26/7/2019,
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,7/6/2019,
Remember The Name,Ed Sheeran Featuring Eminem & 50 Cent,26/7/2019,
Beautiful People,Ed Sheeran Featuring Khalid,12/7/2019,
Best Part Of Me,Ed Sheeran Featuring YEBBA,26/7/2019,
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars,19/7/2019,
Amen,Edens Edge,23/12/2011,
Stereo Love,Edward Maya & Vika Jigulina,22/10/2010,1
Crazy Girl,Eli Young Band,25/3/2011,
Even If It Breaks Your Heart,Eli Young Band,30/3/2012,
Drunk Last Night,Eli Young Band,12/7/2013,
Dust,Eli Young Band,25/7/2014,
Love Ain't,Eli Young Band,26/4/2019,
Ghost,Ella Henderson,14/11/2014,
Boo'd Up,Ella Mai,13/4/2018,
Trip,Ella Mai,17/8/2018,
Shot Clock,Ella Mai,8/2/2019,
Ex's & Oh's,Elle King,24/7/2015,
Lights,Ellie Goulding,19/8/2011,
Anything Could Happen,Ellie Goulding,26/10/2012,
Burn,Ellie Goulding,9/8/2013,
Explosions,Ellie Goulding,28/2/2014,
Beating Heart,Ellie Goulding,4/4/2014,
Love Me Like You Do,Ellie Goulding,23/1/2015,
On My Mind,Ellie Goulding,9/10/2015,
Something In The Way You Move,Ellie Goulding,12/2/2016,
Hate Me,Ellie Goulding & Juice WRLD,2/8/2019,
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,30/11/2018,
Blue Christmas,Elvis Presley,4/1/2019,
Chloe (You're The One I Want),Emblem3,9/8/2013,
Next To Me,Emeli Sande,8/3/2013,
Burning House,Emily Ann Roberts,1/1/2016,
Elevator,Eminem,1/1/2010,0
Music Box,Eminem,8/1/2010,0
Not Afraid,Eminem,21/5/2010,0
Cold Wind Blows,Eminem,9/7/2010,0
25 To Life,Eminem,9/7/2010,0
Berzerk,Eminem,13/9/2013,
Survival,Eminem,25/10/2013,
Rap God,Eminem,1/11/2013,
Phenomenal,Eminem,19/6/2015,
Infinite,Eminem,9/12/2016,
Untouchable,Eminem,29/12/2017,
The Ringer,Eminem,14/9/2018,
Fall,Eminem,14/9/2018,
Kamikaze,Eminem,14/9/2018,
Greatest,Eminem,14/9/2018,
Normal,Eminem,14/9/2018,
Stepping Stone,Eminem,14/9/2018,
Venom,Eminem,14/9/2018,
Killshot,Eminem,28/9/2018,
Darkness,Eminem,31/1/2020,
Premonition (Intro),Eminem,31/1/2020,
In Too Deep,Eminem,31/1/2020,
Marsh,Eminem,31/1/2020,
Stepdad,Eminem,31/1/2020,
Nice Guy,Eminem & Jessie Reyez,14/9/2018,
Lock It Up,Eminem Featuring Anderson .Paak,31/1/2020,
Walk On Water,Eminem Featuring Beyonce,1/12/2017,
No Regrets,Eminem Featuring Don Toliver,31/1/2020,
Hell Breaks Loose,Eminem Featuring Dr. Dre,1/1/2010,0
River,Eminem Featuring Ed Sheeran,5/1/2018,
Those Kinda Nights,Eminem Featuring Ed Sheeran,31/1/2020,
Kings Never Die,Eminem Featuring Gwen Stefani,31/7/2015,
Good Guy,Eminem Featuring Jessie Reyez,14/9/2018,
Lucky You,Eminem Featuring Joyner Lucas,14/9/2018,
Godzilla,Eminem Featuring Juice WRLD,31/1/2020,
Talkin' 2 Myself,Eminem Featuring Kobe,9/7/2010,0
No Love,Eminem Featuring Lil Wayne,9/7/2010,0
Headlights,Eminem Featuring Nate Ruess,28/3/2014,
Won't Back Down,Eminem Featuring P!nk,9/7/2010,0
Love The Way You Lie,Eminem Featuring Rihanna,9/7/2010,0
The Monster,Eminem Featuring Rihanna,15/11/2013,
Not Alike,Eminem Featuring Royce Da 5'9,14/9/2018,
You Gon' Learn,"Eminem Featuring Royce da 5'9"" & White Gold",31/1/2020,
Beautiful Pain,Eminem Featuring Sia,22/11/2013,
Guts Over Fear,Eminem Featuring Sia,12/9/2014,
Leaving Heaven,Eminem Featuring Skylar Grey,31/1/2020,
Unaccommodating,Eminem Featuring Young M.A,31/1/2020,
Conqueror,Empire Cast Featuring Estelle & Jussie Smollett,20/3/2015,
Keep Your Money,Empire Cast Featuring Jussie Smollett,27/2/2015,
You're So Beautiful,Empire Cast Featuring Jussie Smollett & Yazz,13/3/2015,
Walking On A Dream,Empire Of The Sun,5/2/2016,
Turn The Night Up,Enrique Iglesias,16/8/2013,
Heart Attack,Enrique Iglesias,13/12/2013,
Duele El Corazon,Enrique Iglesias Feat. Wisin or Tinashe & Javada,29/7/2016,
El Bano,Enrique Iglesias Featuring Bad Bunny,26/1/2018,
Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,16/5/2014,
Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",21/4/2017,
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,10/12/2010,
El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis,7/2/2014,
I Like It,Enrique Iglesias Featuring Pitbull,28/5/2010,0
I Like How It Feels,Enrique Iglesias Featuring Pitbull & The WAV.s,21/10/2011,
Loco,Enrique Iglesias Featuring Romeo Santos,13/9/2013,
Finally Found You,Enrique Iglesias Featuring Sammy Adams,28/9/2012,
Dirty Dancer,Enrique Iglesias With Usher Featuring Lil Wayne,27/5/2011,
Only Time,Enya,6/12/2013,
Hell On The Heart,Eric Church,19/3/2010,1
Smoke A Little Smoke,Eric Church,1/10/2010,0
Homeboy,Eric Church,25/3/2011,
Drink In My Hand,Eric Church,7/10/2011,
Springsteen,Eric Church,16/3/2012,
Creepin',Eric Church,7/9/2012,
Like Jesus Does,Eric Church,8/3/2013,
The Outsiders,Eric Church,8/11/2013,
Give Me Back My Hometown,Eric Church,24/1/2014,
A Man Who Was Gonna Die Young,Eric Church,14/2/2014,
Cold One,Eric Church,22/8/2014,
Talladega,Eric Church,7/11/2014,
Like A Wrecking Ball,Eric Church,10/4/2015,
Mr. Misunderstood,Eric Church,15/1/2016,
Record Year,Eric Church,22/4/2016,
Round Here Buzz,Eric Church,13/10/2017,
Desperate Man,Eric Church,27/7/2018,
Some Of It,Eric Church,7/6/2019,
Stick That In Your Country Song,Eric Church,10/7/2020,
Kill A Word,Eric Church Featuring Rhiannon Giddens,25/11/2016,
Friday Night,Eric Paslay,1/11/2013,
Song About A Girl,Eric Paslay,20/6/2014,
She Don't Love You,Eric Paslay,20/3/2015,
Window Seat,Erykah Badu,16/4/2010,1
Thank You,Estelle,16/3/2012,
Drop It Low,Ester Dean Featuring Chris Brown,1/1/2010,0
What You Want,Evanescence,26/8/2011,
Lost In Paradise,Evanescence,28/10/2011,
You Be Killin Em,Fabolous,31/12/2010,
Ready,Fabolous Featuring Chris Brown,26/4/2013,
Come Home,Faith Hill,25/11/2011,
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,22/2/2013,
The Phoenix,Fall Out Boy,12/4/2013,
Alone Together,Fall Out Boy,13/12/2013,
Centuries,Fall Out Boy,26/9/2014,
Irresistible,Fall Out Boy,23/1/2015,
Uma Thurman,Fall Out Boy,30/1/2015,
Immortals,Fall Out Boy,6/2/2015,
Japan,Famous Dex,6/4/2018,
Pick It Up,Famous Dex Featuring A$AP Rocky,1/12/2017,
Bittersweet,Fantasia,23/7/2010,1
Without Me,Fantasia Featuring Kelly Rowland & Missy Elliott,19/7/2013,
Like A G6,Far*East Movement Featuring Cataracs & Dev,27/8/2010,0
Live My Life,Far*East Movement Featuring Justin Bieber,16/3/2012,
Rocketeer,Far*East Movement Featuring Ryan Tedder,17/12/2010,
La Toxica,Farruko,6/11/2020,
Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",15/12/2017,
Lord Above,Fat Joe & Dre Featuring Eminem & Mary J. Blige,20/12/2019,
Another Round,Fat Joe Featuring Chris Brown,20/4/2012,
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",15/4/2016,
L.A.LOVE (la la),Fergie,24/10/2014,
M.I.L.F. $,Fergie,22/7/2016,
A Little Party Never Killed Nobody (All We Got),"Fergie, Q-Tip & GoonRock",31/5/2013,
Trap Queen,Fetty Wap,6/2/2015,
Again,Fetty Wap,28/8/2015,
RGF Island,Fetty Wap,9/10/2015,
Jimmy Choo,Fetty Wap,26/2/2016,
Wake Up,Fetty Wap,13/5/2016,
My Way,Fetty Wap Featuring Monty,17/7/2015,
Jugg,Fetty Wap Featuring Monty,16/10/2015,
679,Fetty Wap Featuring Remy Boyz,17/7/2015,
Miss Movin' On,Fifth Harmony,2/8/2013,
Bo$$,Fifth Harmony,25/7/2014,
Sledgehammer,Fifth Harmony,12/12/2014,
That's My Girl,Fifth Harmony,9/12/2016,
All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,8/7/2016,
Down,Fifth Harmony Featuring Gucci Mane,23/6/2017,
Worth It,Fifth Harmony Featuring Kid Ink,6/2/2015,
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,18/3/2016,
The Walker,Fitz And The Tantrums,14/3/2014,
HandClap,Fitz And The Tantrums,14/10/2016,
Under And Over It,Five Finger Death Punch,19/8/2011,
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May",26/4/2019,
Dreams,Fleetwood Mac,16/10/2020,
Undrunk,FLETCHER,22/3/2019,
Leave Me Alone,Flipp Dinero,28/9/2018,
Turn Around (5 4 3 2 1),Flo Rida,3/12/2010,
Good Feeling,Flo Rida,16/9/2011,
Whistle,Flo Rida,11/5/2012,
I Cry,Flo Rida,12/10/2012,
How I Feel,Flo Rida,24/1/2014,
My House,Flo Rida,27/11/2015,
Cake,Flo Rida & 99 Percent,28/4/2017,
Who Dat Girl,Flo Rida Featuring Akon,17/12/2010,
Club Can't Handle Me,Flo Rida Featuring David Guetta,16/7/2010,0
Hello Friday,Flo Rida Featuring Jason Derulo,18/3/2016,
"I Don't Like It, I Love It",Flo Rida Featuring Robin Thicke & Verdine White,10/7/2015,
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,7/11/2014,
Wild Ones,Flo Rida Featuring Sia,6/1/2012,
Dog Days Are Over,Florence + The Machine,24/9/2010,0
What The Water Gave Me,Florence + The Machine,9/9/2011,
Shake It Out,Florence + The Machine,11/11/2011,
What Kind Of Man,Florence + The Machine,27/2/2015,
Get Your Shine On,Florida Georgia Line,8/2/2013,
Round Here,Florida Georgia Line,28/6/2013,
Stay,Florida Georgia Line,1/11/2013,
Dirt,Florida Georgia Line,25/7/2014,
Sun Daze,Florida Georgia Line,3/10/2014,
Anything Goes,Florida Georgia Line,10/10/2014,
Bumpin' The Night,Florida Georgia Line,17/10/2014,
Sippin' On Fire,Florida Georgia Line,24/10/2014,
Confession,Florida Georgia Line,15/1/2016,
H.O.L.Y.,Florida Georgia Line,20/5/2016,
Smooth,Florida Georgia Line,20/10/2017,
Simple,Florida Georgia Line,15/6/2018,
Talk You Out Of It,Florida Georgia Line,1/3/2019,
I Love My Country,Florida Georgia Line,10/4/2020,
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,17/3/2017,
Cruise,Florida Georgia Line Featuring Nelly,31/8/2012,
May We All,Florida Georgia Line Featuring Tim McGraw,16/9/2016,
This Is How We Roll,Florida Georgia Line Ft. Jason Derulo & Luke Bryan,13/12/2013,
Never Be Like You,Flume Featuring Kai,22/4/2016,
Say It,Flume Featuring Tove Lo,21/10/2016,
Rope,Foo Fighters,18/3/2011,
Walk,Foo Fighters,22/7/2011,
God Only Knows,for KING & COUNTRY,13/9/2019,
Pumped Up Kicks,Foster The People,13/5/2011,0
Don't Stop (Color On The Walls),Foster The People,27/1/2012,
Sit Next To Me,Foster The People,30/3/2018,
Novacane,Frank Ocean,22/7/2011,
Thinkin Bout You,Frank Ocean,27/7/2012,1
Nikes,Frank Ocean,9/9/2016,0
Ivy,Frank Ocean,9/9/2016,1
Pink + White,Frank Ocean,9/9/2016,1
Solo,Frank Ocean,9/9/2016,
Nights,Frank Ocean,9/9/2016,0
Chanel,Frank Ocean,31/3/2017,
DHL,Frank Ocean,1/11/2019,
In My Room,Frank Ocean,15/11/2019,0
Jingle Bells,Frank Sinatra,4/1/2019,
Helluva Life,Frankie Ballard,20/12/2013,
Sunshine & Whiskey,Frankie Ballard,25/7/2014,
Young & Crazy,Frankie Ballard,12/6/2015,
Ain't Worried About Nothin,French Montana,5/7/2013,
Slide,French Montana Featuring Blueface & Lil Tjay,3/5/2019,
No Shopping,French Montana Featuring Drake,5/8/2016,
No Stylist,French Montana Featuring Drake,5/10/2018,
Bad B*tch,French Montana Featuring Jeremih,9/1/2015,
Lockjaw,French Montana Featuring Kodak Black,22/7/2016,
Freaks,French Montana Featuring Nicki Minaj,29/3/2013,
Writing On The Wall,"French Montana Featuring Post Malone, Cardi B & Rvssian",11/10/2019,
Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne",27/7/2012,
Unforgettable,French Montana Featuring Swae Lee,28/4/2017,
A Lie,French Montana Featuring The Weeknd & Max B,4/8/2017,
Capsize,Frenship & Emily Warren,14/10/2016,
Some Nights,fun.,9/3/2012,
Carry On,fun.,18/1/2013,
We Are Young,fun. Featuring Janelle Monae,23/12/2011,
Same Damn Time,Future,4/5/2012,
Turn On The Lights,Future,24/8/2012,
Neva End,Future,21/12/2012,
Honest,Future,27/9/2013,
Commas,Future,17/4/2015,
Blow A Bag,Future,7/8/2015,
Jersey,Future,16/10/2015,
Rich $ex,Future,11/12/2015,
Stick Talk,Future,8/1/2016,
Fly S**t Only,Future,26/2/2016,
Wicked,Future,6/5/2016,
Draco,Future,10/3/2017,
Mask Off,Future,10/3/2017,
Rent Money,Future,10/3/2017,
Super Trapper,Future,10/3/2017,
Zoom,Future,10/3/2017,
Feed Me Dope,Future,10/11/2017,
4 Da Gang,Future,10/11/2017,
Wifi Lit,Future,20/7/2018,
31 Days,Future,20/7/2018,
Cuddle My Wrist,Future,20/7/2018,
Racks Blue,Future,20/7/2018,
Crushed Up,Future,18/1/2019,
Jumpin On A Jet,Future,25/1/2019,
Never Stop,Future,1/2/2019,
Temptation,Future,1/2/2019,
Rocket Ship,Future,1/2/2019,
F&N,Future,1/2/2019,
Call The Coroner,Future,1/2/2019,
Please Tell Me,Future,21/6/2019,
XanaX Damage,Future,21/6/2019,
Government Official,Future,21/6/2019,
Tycoon,Future,17/4/2020,
Trapped In The Sun,Future,29/5/2020,
Hard To Choose One,Future,29/5/2020,
Ridin Strikers,Future,29/5/2020,
Hitek Tek,Future,29/5/2020,
Too Comfortable,Future,29/5/2020,
Posted With Demons,Future,29/5/2020,
Touch The Sky,Future,29/5/2020,
One Of My,Future,29/5/2020,
Fine China,Future & Juice WRLD,2/11/2018,
Astronauts,Future & Juice WRLD,2/11/2018,
Jet Lag,Future & Juice WRLD Featuring Young Scooter,2/11/2018,
No Cap,Future & Young Thug,10/11/2017,
All Da Smoke,Future & Young Thug,10/11/2017,
Three,Future & Young Thug,10/11/2017,
Patek Water,Future & Young Thug Featuring Offset,10/11/2017,
Where Ya At,Future Featuring Drake,7/8/2015,
Used To This,Future Featuring Drake,25/11/2016,
Life Is Good,Future Featuring Drake,24/1/2020,
I Won,Future Featuring Kanye West,9/5/2014,
All Bad,Future Featuring Lil Uzi Vert,29/5/2020,
Karate Chop (Remix),Future Featuring Lil Wayne,8/3/2013,
You Da Baddest,Future Featuring Nicki Minaj,18/8/2017,
Move That Doh,"Future Featuring Pharrell, Pusha T & Casino",28/3/2014,
Selfish,Future Featuring Rihanna,17/3/2017,
Magic,Future Featuring T.I.,16/3/2012,
Low Life,Future Featuring The Weeknd,26/2/2016,
Comin Out Strong,Future Featuring The Weeknd,17/3/2017,
First Off,Future Featuring Travis Scott,1/2/2019,
Solitaires,Future Featuring Travis Scott,29/5/2020,
Extra Luv,Future Featuring YG,21/7/2017,
Harlem Shake,Future Featuring Young Thug,29/5/2020,
Trillionaire,Future Featuring YoungBoy Never Broke Again,29/5/2020,
D4L,"Future, Drake & Young Thug",15/5/2020,
PTSD,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",13/3/2020,
I Hope,Gabby Barrett Featuring Charlie Puth,10/1/2020,
No Money,Galantis,29/7/2016,
Celebration,"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",5/10/2012,
Red Nation,Game Featuring Lil Wayne,29/4/2011,
Martians Vs Goblins,"Game Featuring Lil Wayne & Tyler, The Creator",9/9/2011,
Give In To Me,Garrett Hedlund & Leighton Meester,28/1/2011,
Ask Me How I Know,Garth Brooks,3/11/2017,
Dive Bar,Garth Brooks & Blake Shelton,7/2/2020,
Every Storm (Runs Out Of Rain),Gary Allan,19/10/2012,
Not Over You,Gavin DeGraw,24/6/2011,
Best I Ever Had,Gavin DeGraw,4/10/2013,
Random,G-Eazy,25/12/2015,
The Plan,G-Eazy,1/12/2017,
Him & I,G-Eazy & Halsey,22/12/2017,
Good Life,G-Eazy & Kehlani,5/5/2017,
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,29/9/2017,
Hate The Way,G-Eazy Featuring blackbear,30/10/2020,
